Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1471730400.0 107.0 54 79 190 NA 99 146 250 NA 6416 397 487 NA 6608 484 522 NA
1471730400.0 112.0 55 83 191 NA 99 146 250 NA 6853 387 495 NA 7106 500 589 NA
1471730400.0 113.0 56 80 188 NA 100 147 250 NA 6604 385 478 NA 6856 473 509 NA
1471730400.0 115.0 56 78 191 NA 101 146 250 NA 7713 383 522 NA 8149 486 553 NA
1471730400.0 117.0 57 88 198 NA 101 146 250 NA 9976 422 734 NA 10400 475 926 NA
1471730400.0 118.0 57 85 191 NA 100 147 250 NA 6526 383 582 NA 6972 502 615 NA
1471730400.0 125.0 59 80 193 NA 101 147 250 NA 8801 395 502 NA 9333 418 532 NA
1471730400.0 134.701 NA 40 236 0 NA 84 301 0 NA 139 5157 506 NA 208 5708 529
1471730400.0 134.702 NA 36 224 0 NA 82 297 0 NA 162 7365 571 NA 183 7566 604
1471730400.0 134.704 NA 43 232 0 NA 82 301 0 NA 168 7199 521 NA 257 8000 560
1471730400.0 134.706 NA 47 233 0 NA 85 309 0 NA 266 10772 771 NA 402 12024 1043
1471730400.0 134.707 NA 46 225 0 NA 85 301 0 NA 177 6933 541 NA 282 9117 563
1471730400.0 134.709 NA 47 232 0 NA 87 303 0 NA 174 7295 527 NA 204 10349 543
1471730400.0 134.801 NA 44 229 0 NA 84 302 0 NA 146 4629 473 NA 188 5313 491
1471730400.0 134.803 NA 40 227 0 NA 87 309 0 NA 334 11758 678 NA 413 14172 701
1471730400.0 134.804 NA 44 232 0 NA 85 309 0 NA 334 13002 685 NA 396 13932 718
1471730400.0 134.812 NA 42 228 0 NA 82 290 0 NA 140 4598 495 NA 158 5026 515
1471730400.0 134.901 NA 36 227 0 NA 84 290 0 NA 148 4797 505 NA 211 4950 522
1471730400.0 134.902 NA 45 222 0 NA 86 297 0 NA 194 6450 562 NA 289 8544 591
1471730400.0 134.903 NA 46 227 0 NA 88 293 0 NA 177 6294 583 NA 199 6471 618
1471730400.0 134.907 NA 84 245 0 NA 145 309 0 NA 496 6669 597 NA 555 10408 622
1471730400.0 134.91 NA 44 225 0 NA 85 289 0 NA 188 5620 570 NA 236 8029 600
1471730400.0 134.99601 NA 44 229 0 NA 85 309 0 NA 338 13920 706 NA 385 16093 766
1471730400.0 134.99602 NA 44 236 0 NA 86 293 0 NA 172 5234 492 NA 241 5773 519
1471730400.0 135.11 233 0 105 NA 305 0 158 NA 1230 350 344 NA 1837 415 543 NA
1471730400.0 135.12 231 0 104 NA 295 0 157 NA 920 329 259 NA 1466 362 417 NA
1471730400.0 135.2 207 0 100 NA 277 0 157 NA 581 290 234 NA 788 347 433 NA
1471730400.0 135.3 206 0 102 NA 277 0 157 NA 610 299 245 NA 1265 365 497 NA
1471730400.0 135.5 219 0 102 NA 295 0 157 NA 966 326 273 NA 1565 398 522 NA
1471730400.0 135.6 222 0 104 NA 297 0 157 NA 954 336 270 NA 1139 394 469 NA
1471730400.0 135.7 221 0 103 NA 296 0 157 NA 918 317 274 NA 1530 378 523 NA
1471730400.0 135.9 221 0 102 NA 297 0 157 NA 889 325 263 NA 1470 385 511 NA
1471730400.0 136.722 NA 164 242 0 NA 230 343 0 NA 6941 15261 1247 NA 7660 30277 1283
1471730400.0 136.724 NA 170 231 0 NA 230 329 0 NA 7425 17528 1219 NA 7859 33926 1245
1471730400.0 136.726 NA 167 225 0 NA 226 327 0 NA 7092 15730 1244 NA 7568 30906 1293
1471730400.0 136.731 NA 167 233 0 NA 227 318 0 NA 6923 15487 1239 NA 7499 30572 1281
1471730400.0 136.732 NA 157 231 0 NA 222 308 0 NA 3611 10467 1211 NA 3910 12874 1244
1471730400.0 136.7321 NA 163 260 0 NA 224 328 0 NA 3683 10803 1234 NA 3926 12561 1255
1471730400.0 139902.0 NA 166 250 0 NA 225 314 0 NA 770 1694 1488 NA 909 1776 3263
1471730400.0 145.0 NA 234 286 0 NA 307 360 0 NA 3291 3555 308 NA 3672 3696 327
1471730400.0 204.0 56 90 205 0 99 153 274 0 6034 745 1289 632 6653 1295 1766 651
1471730400.0 250200.1 63 199 196 NA 109 277 254 NA 8993 2934 3341 NA 9868 4170 3464 NA
1471730400.0 250400.0 233 0 107 NA 314 0 158 NA 1438 317 345 NA 1730 353 419 NA
1471730400.0 250402.0 236 0 106 NA 316 0 158 NA 1831 412 497 NA 2463 433 662 NA
1471730400.0 250406.0 227 0 106 NA 315 0 158 NA 1267 367 329 NA 5623 389 423 NA
1471730400.0 250407.0 220 0 106 NA 295 0 160 NA 947 282 336 NA 1478 344 539 NA
1471730400.0 250408.0 232 0 106 NA 313 0 158 NA 1508 350 428 NA 1872 3243 563 NA
1471730400.0 250409.0 229 0 109 NA 322 0 158 NA 1982 389 541 NA 6060 409 634 NA
1471730400.0 25210.0 68 200 302 0 158 285 409 0 7842 3936 5053 2060 11168 6016 16520 2400
1471730400.0 25211.0 64 199 300 0 158 275 402 0 6434 5154 6461 2057 9889 7632 17706 2933
1471730400.0 25212.0 63 196 298 0 158 275 398 0 7107 4531 5412 2037 11158 6942 16738 2402
1471730400.0 25213.0 64 201 318 0 158 283 406 0 9640 5017 6119 1992 14777 13014 11243 2031
1471730400.0 25405.0 254 0 104 NA 362 0 158 NA 5149 524 514 NA 7784 546 610 NA
1471730400.0 25407.0 246 0 104 NA 343 0 160 NA 4485 505 486 NA 7020 530 756 NA
1471730400.0 25409.0 255 0 107 NA 359 0 158 NA 5632 549 632 NA 8381 570 726 NA
1471730400.0 280.0 79 74 189 0 171 146 250 0 10417 673 828 756 10772 1675 918 780
1471730400.0 300.0 72 190 246 0 121 250 316 0 4393 967 1224 334 4954 1133 4218 351
1471730400.0 301.0 71 178 250 0 123 250 316 0 5413 914 1318 326 5706 3736 1412 350
1471730400.0 34.0 54 81 194 0 99 146 250 0 5653 364 500 513 6011 391 523 537
1471730400.0 36.0 NA 81 199 0 NA 148 255 0 NA 3553 15701 846 NA 3622 17942 878
1471730400.0 4.37 NA 52 220 0 NA 94 285 0 NA 107 4417 504 NA 145 4569 523
1471730400.0 4.41 NA 41 234 0 NA 78 285 0 NA 139 5755 474 NA 233 5936 489
1471730400.0 4.54 NA 38 226 0 NA 78 301 0 NA 166 8397 527 NA 198 11699 546
1471730400.0 4.57 NA 48 224 0 NA 91 305 0 NA 249 14343 701 NA 287 16081 729
1471730400.0 4.58 NA 51 225 0 NA 88 287 0 NA 123 5727 566 NA 202 5966 616
1471730400.0 4.68 NA 50 223 0 NA 87 299 0 NA 143 7593 529 NA 167 9254 542
1471730400.0 4.73 NA 42 218 0 NA 80 293 0 NA 266 12253 644 NA 313 13055 667
1471730400.0 4.74 NA 41 222 0 NA 78 289 0 NA 172 7134 499 NA 237 9083 524
1471730400.0 4.77 NA 49 223 0 NA 92 314 0 NA 276 16378 660 NA 337 17544 684
1471730400.0 4.78 NA 50 223 0 NA 86 291 0 NA 127 6424 534 NA 179 6543 556
