Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1471730400.0 1000.0 NA 172 99 0 33 NA 230 152 0 66 NA 2519 612 796 101 NA 2806 1734 817 165
1471730400.0 108.0 53 76 168 NA NA 98 143 222 NA NA 4614 343 535 NA NA 4704 357 553 NA NA
1471730400.0 109.0 55 82 166 NA NA 99 143 222 NA NA 5933 506 762 NA NA 6060 534 806 NA NA
1471730400.0 1102.0 NA 69 170 97 54 NA 140 222 149 100 NA 2131 3230 1919 187 NA 2205 3275 1945 199
1471730400.0 115.0 52 83 163 NA NA 97 143 222 NA NA 4513 451 699 NA NA 5018 837 738 NA NA
1471730400.0 116.0 52 81 163 NA NA 97 143 222 NA NA 4338 459 713 NA NA 4921 860 745 NA NA
1471730400.0 121.0 52 75 164 NA NA 97 143 222 NA NA 5504 523 766 NA NA 5653 581 799 NA NA
1471730400.0 1303.0 61 120 149 NA NA 108 169 204 NA NA 7962 578 978 NA NA 8509 1076 1074 NA NA
1471730400.0 134.701 NA 85 199 0 NA NA 144 267 0 NA NA 939 5318 968 NA NA 1500 5834 990 NA
1471730400.0 134.702 NA 88 193 0 NA NA 146 256 0 NA NA 1135 7032 855 NA NA 1673 7411 876 NA
1471730400.0 134.801 NA 94 194 0 NA NA 153 257 0 NA NA 1021 4391 705 NA NA 1395 4511 724 NA
1471730400.0 134.804 NA 100 209 0 NA NA 157 270 0 NA NA 1463 6743 720 NA NA 1871 7108 744 NA
1471730400.0 134.805 NA 100 207 0 NA NA 161 271 0 NA NA 1617 6679 738 NA NA 1983 7023 765 NA
1471730400.0 134.806 NA 102 208 0 NA NA 160 268 0 NA NA 1874 7312 713 NA NA 2247 7428 725 NA
1471730400.0 134.807 NA 109 202 0 NA NA 159 272 0 NA NA 1625 6550 799 NA NA 1953 6872 822 NA
1471730400.0 134.808 NA 108 201 0 NA NA 160 272 0 NA NA 1453 6773 759 NA NA 1824 7169 786 NA
1471730400.0 135.1 181 0 90 NA NA 243 0 137 NA NA 1198 202 304 NA NA 2170 233 350 NA NA
1471730400.0 135.11 189 0 90 NA NA 251 0 137 NA NA 1353 221 325 NA NA 1724 238 408 NA NA
1471730400.0 135.4 176 0 88 NA NA 242 0 137 NA NA 1075 194 284 NA NA 1920 220 332 NA NA
1471730400.0 135.5 172 0 88 NA NA 241 0 135 NA NA 990 190 278 NA NA 1580 262 332 NA NA
1471730400.0 250200.1 60 159 157 NA NA 105 220 217 NA NA 4883 1454 1852 NA NA 5540 1790 2059 NA NA
1471730400.0 250400.0 187 0 90 NA NA 259 0 138 NA NA 1510 201 560 NA NA 2419 220 596 NA NA
1471730400.0 250402.0 187 0 91 NA NA 260 0 137 NA NA 1614 195 536 NA NA 2731 209 565 NA NA
1471730400.0 250403.0 184 0 91 NA NA 257 0 138 NA NA 1378 194 465 NA NA 2312 209 492 NA NA
1471730400.0 250405.0 186 0 90 NA NA 259 0 138 NA NA 1472 196 532 NA NA 2399 215 573 NA NA
1471730400.0 250407.0 169 0 91 NA NA 243 0 139 NA NA 1268 163 508 NA NA 2202 176 565 NA NA
1471730400.0 25400.0 215 0 89 NA NA 300 0 141 NA NA 3851 209 499 NA NA 4715 232 578 NA NA
1471730400.0 25402.0 221 0 91 NA NA 304 0 142 NA NA 4306 201 472 NA NA 7295 216 801 NA NA
1471730400.0 25403.0 212 0 89 NA NA 297 0 138 NA NA 3766 209 485 NA NA 5000 223 582 NA NA
1471730400.0 25405.0 214 0 89 NA NA 296 0 140 NA NA 3608 210 481 NA NA 4154 238 592 NA NA
1471730400.0 25409.0 219 0 93 NA NA 300 0 142 NA NA 2942 163 400 NA NA 3130 171 444 NA NA
1471730400.0 28.0 NA 68 168 0 NA NA 140 222 0 NA NA 2258 2407 648 NA NA 2498 3306 666 NA
1471730400.0 280.0 88 84 163 0 NA 167 143 222 0 NA 4539 343 468 417 NA 4678 375 512 427 NA
1471730400.0 3.0 56 74 116 NA NA 99 142 167 NA NA 9397 343 798 NA NA 9520 423 884 NA NA
1471730400.0 30.0 NA 67 167 0 NA NA 140 222 0 NA NA 2205 2073 663 NA NA 2457 2909 683 NA
1471730400.0 301.0 76 181 294 0 NA 135 258 368 0 NA 3877 1413 2555 421 NA 4350 2001 2847 453 NA
1471730400.0 33.0 NA 66 167 0 NA NA 140 222 0 NA NA 1792 1491 606 NA NA 1853 1523 629 NA
1471730400.0 35.0 NA 67 167 0 NA NA 140 222 0 NA NA 2242 2144 635 NA NA 2463 3075 654 NA
1471730400.0 36.0 NA 68 166 0 NA NA 139 225 0 NA NA 1587 8007 461 NA NA 1665 8149 482 NA
1471730400.0 39.0 NA 74 171 0 NA NA 140 223 0 NA NA 2174 5490 614 NA NA 2249 5531 640 NA
1471730400.0 4.17 NA 21 179 0 98 NA 65 238 0 155 NA 54 2676 862 617 NA 85 3664 927 801
1471730400.0 4.41 NA 19 185 0 NA NA 66 248 0 NA NA 61 5678 840 NA NA 105 5780 862 NA
1471730400.0 4.42 NA 22 188 0 NA NA 65 254 0 NA NA 64 7217 835 NA NA 138 7317 879 NA
1471730400.0 4.44 NA 22 182 0 NA NA 65 245 0 NA NA 65 4076 698 NA NA 93 4153 714 NA
1471730400.0 4.45 NA 21 187 0 NA NA 65 251 0 NA NA 69 7680 828 NA NA 145 7821 860 NA
1471730400.0 4.52 NA 25 189 0 NA NA 65 255 0 NA NA 71 8209 806 NA NA 98 8299 839 NA
1471730400.0 4.58 NA 29 185 0 NA NA 68 249 0 NA NA 86 5204 1035 NA NA 188 5974 1073 NA
1471730400.0 4.61 NA 20 192 0 NA NA 65 255 0 NA NA 68 7625 849 NA NA 170 7737 871 NA
1471730400.0 4.62 NA 19 187 0 NA NA 65 253 0 NA NA 69 7326 845 NA NA 159 7446 889 NA
1471730400.0 4.68 NA 21 186 0 NA NA 66 250 0 NA NA 68 6946 865 NA NA 151 7048 890 NA
1471730400.0 4.72 NA 19 192 0 NA NA 65 252 0 NA NA 71 4977 628 NA NA 154 5014 638 NA
1471730400.0 4.75 NA 21 188 0 NA NA 65 254 0 NA NA 75 6054 621 NA NA 114 6123 649 NA
